名称,名称2,承载,省份,县市,year,length,category,序号,longitude,latitude,elevation
扬中长江三桥,扬中长江三桥,238省道,江苏省,"扬中市
镇江市",2014,2235,梁式桥,357,119.779566,32.207262,-1
泰州长江大桥,主桥,泰镇高速,江苏省,"泰州市
扬中市",2012,9726,悬索桥,358,119.892535,32.247132,0
泰州长江大桥,夹江桥,泰镇高速,江苏省,"扬中市
镇江市",2012,9726,梁式桥,359,119.892535,32.247132,0
长青沙大桥,长青沙大桥,207县道,江苏省,如皋市,2001,608.28,梁式桥,369,120.596854,32.0693,3
华沙大桥,华沙大桥,海五公路,江苏省,南通市,2003,1580,梁式桥,371,120.651082,32.055393,3
东沙大桥,东沙大桥,六车道公路,江苏省,南通市,2014,1838.8,斜拉桥,372,120.678207,32.051295,0
沪通长江大桥,沪通长江大桥,"通锡高速
 沪通铁路、通苏嘉城际铁路",江苏省,"南通市
张家港市",2019,5838,斜拉桥,373,120.721551,32.04152,3
上海长江隧道,上海长江隧道,"沪陕高速
预留  上海轨道交通19号线",上海市,"长兴岛
浦东新区",2009,8950,隧道,375,121.513959,31.35915,0
上海长江大桥,上海长江大桥,"沪陕高速
预留  上海轨道交通19号线",上海市,"崇明岛
长兴岛",2009,9970,斜拉桥,376,121.752051,31.436518,0
崇启大桥,崇启大桥,沪陕高速,上海市,崇明岛,2011,7150,梁式桥,377,121.656582,31.662725,0
崇启大桥,崇启大桥,沪陕高速,江苏省,启东市,2011,7150,梁式桥,378,121.656582,31.662725,0
